Season,Mapped ESPN Team Name,Seed,Net Rating,Adjusted Tempo,Adjusted Offensive Efficiency,Avg Possession Length (Offense),eFGPct,TOPct,ORPct,FTRate,Off3PtFG,FTPct,Bench,Adjusted Defensive Efficiency,Avg Possession Length (Defense),DefFT,cinderella
2022,Virginia Tech,11,18.90000000000001,63.3,115,19.2,55.1489146895507,17.0240557309241,27.8538812785388,24.4825845532559,37.5441349548843,75.0515463917526,22.15,96.1,18.5,16.3202122954445,0
2026,Texas A&M,10,18.700000000000003,70.5,119.7,15.6,54.1888619854722,14.5668110366749,32.2607260726073,37.3849878934625,36.978981118632,73.7046632124352,40.9,101,17.5,20.7776904948939,0
2016,Vanderbilt,11,18.69999999999999,67.8,113.6,16.9,52.8739,16.7778,27.19374,39.75519,32.6816,69.4779,33.48,94.9,17.7,21.3034,0
2016,Syracuse,10,18.60000000000001,65,112.7,17.6,50.024,18.1285,33.53429,35.35062,36.5006,68.75,15.93,94.1,19.2,16.4384,0
2010,Saint Mary's,10,18.59999999999999,66.2,116.5,18.1,55.2743,17.4455,34.5334,32.7004,32.243,76.129,17.97,97.9,17.7,17.7808,0
2007,Creighton,10,18.5,62.7,113.8,NA,50.6919,19.8894,33.9164,42.7196,27.7027,75.3521,26.49,95.3,NA,18.5977,0
2011,Belmont,13,18.5,68.4,112.6,16.1,54.13,19.836,37.321,38.172,35.1613,73.6236,44.37,94.1,18.4,25.3903,0
2025,UC San Diego,12,18.299999999999997,65.8,115,17.4,55.065963060686,13.4027620556939,25.6317689530686,33.3509234828496,39.7420867526377,74.6835443037975,22.89,96.7,18.4,18.951418951419,0
2019,Florida,10,18.299999999999997,62.9,110.5,18.5,49.7518610421836,17.8597056337804,30.6688417618271,29.9255583126551,35.7786885245902,72.1393034825871,31.64,92.2,18.8,19.4844910441241,0
2010,Georgia Tech,10,18.200000000000003,68.2,109.2,16.3,50.3479,23.1352,38.9352,37.7237,24.2568,65.4809,36.89,91,17.6,20.8639,0
2006,George Mason,11,18.200000000000003,62.6,109.7,NA,53.6769,19.5935,32.185,34.6753,25.4426,66.4087,NA,91.5,NA,17.2299,0
2011,Marquette,11,18.200000000000003,66.2,115.5,17.2,51.0267,18.1644,35.7592,44.2693,20.5967,69.5793,28.72,97.3,18,16.0251,0
2009,USC,10,18.200000000000003,63.7,110,NA,50.8139,21.0648,37.3866,42.2138,16.1452,67.3522,22.09,91.8,NA,19.964,0
2010,Washington,11,18.10000000000001,71.7,111.7,15,49.7061,17.4899,36.6409,40.9132,20.0982,72.0442,34.28,93.6,18,24.6526,0
2026,SMU,11,18.10000000000001,68.5,122.9,16.3,55.7460164171898,15.8660952603762,35.4020979020979,30.6132303235152,30.1187477509896,74.1324921135647,23.96,104.8,17.6,18.2741116751269,0
2011,Clemson,12,18.09999999999999,63.9,109.6,17.9,50.2737,20.2645,33.5393,38.4784,27.9399,70.128,26.6,91.5,18.5,21.3327,0
2010,Minnesota,11,17.900000000000006,65.6,112,18.3,53.1042,18.8928,33.3909,33.9148,29.1354,70.0454,36.15,94.1,18.1,19.3577,0
2025,New Mexico,10,17.80000000000001,72.5,112.9,15.2,50.8254716981132,15.6650340533276,31.2935708752905,37.2641509433962,25.4727474972191,68.6075949367089,26.77,95.1,17.9,19.150707743547,0
2024,New Mexico,11,17.80000000000001,72.8,114.4,15.4,50.4627589246364,14.0123743080157,33.4828101644245,33.1864257382107,23.541887592789,71.5803452855246,32.22,96.6,17.9,20.4737053392212,0
2019,Oregon,12,17.799999999999997,64.2,109.5,19,51.9990592662277,17.726381497339,29.5786061588331,29.3508936970837,33.2581736189402,72.1153846153846,32.39,91.7,18.1,20.4314720812183,0
2013,Iowa State,10,17.700000000000003,68.3,117.5,15.8,53.766,18.4994,34.1977,32.9702,37.3516,73.1322,25.77,99.8,18.2,19.7506,0
2003,BYU,12,17.700000000000003,65.5,109.4,NA,52.63,20.5256,34.3113,45.6469,27.5337,73.9073,NA,91.7,NA,26.2303,0
2021,Maryland,10,17.700000000000003,64.7,111.8,18.4,53.1585596967783,16.7146533493006,20.6417112299465,31.838281743525,35.5282555282555,69.8412698412698,22.42,94.1,18.3,15.4858299595142,0
2014,Harvard,12,17.60000000000001,64.1,112.9,18.6,52.0615,17.6137,32.3499,48.6154,23.8516,72.4051,24.16,95.3,18.3,21.7755,0
2025,Colorado State,12,17.599999999999994,66,116.8,17.8,55.5110220440882,17.1680048932961,27.0367054610564,31.6132264529058,34.3553749538234,77.4960380348653,30.94,99.2,18.3,18.9847296739579,0
